RID,Location,Latitude,Longitude,Avgpassengersperday,Nooftrainspassing,Nooftrainsstopping,Noofplatforms,Nooftracks,Trainhaltingtime,Avgtrainspeed,Averageaccidentspermonth,population,PhysicalEnvironment,DateTime,admin_found,Label
183.79.249.252-10.42.0.211-443-37110-6,Shenyang,41.8039,123.4258,6800,50,80,9,2,8,1.9,12,7105000,Stairs,02-11-22 11:11,Mid Night,0
151.101.1.140-10.42.0.42-80-57742-6,Tangshan,39.6292,118.1742,7900,80,45,10,3,10,1.4,16,7100000,Pedestrain,02-11-22 11:19,Evening,0
10.42.0.42-108.174.10.10-42346-80-6,Shaoyang,27.2418,111.4725,4200,75,75,8,5,5,1.6,14,7071000,Station,02-11-22 11:22,Mid Night,1
10.42.0.211-10.42.0.1-20591-53-17,Changsha,28.1987,112.9709,870,16,56,7,7,6,1.8,18,7044118,Road Vehicle Carriageway,02-11-22 11:28,Mid Night,0
10.42.0.211-54.239.17.112-40296-443-6,Zhengzhou,34.7492,113.6605,6458,78,10,5,5,8,1.7,39,7005000,Road,02-11-22 11:31,Evening,1
182.22.24.124-10.42.0.211-443-38529-6,Zhanjiang,21.1967,110.4031,9852,98,20,6,6,9,1.3,18,6900000,Station,02-11-22 11:36,Mid Night,0
10.42.0.211-10.42.0.1-21216-53-17,Cangzhou,38.3037,116.8452,7854,99,25,5,4,2,1.2,17,6800000,Platform,02-11-22 11:49,Mid Night,1
180.149.136.194-10.42.0.211-443-44473-6,Maoming,21.6618,110.9178,9568,85,65,7,8,4,1.6,96,6706000,Lineside,02-11-22 11:54,Evening,0
10.42.0.1-10.42.0.42-53-3474-17,Huanggang,30.45,114.875,7852,23,38,5,9,5,1.9,17,6667000,Road,02-11-22 12:05,Mid Night,1
183.79.248.124-10.42.0.151-443-35976-6,Xinyang,32.1264,114.0672,7545,45,75,2,4,8,1.8,24,6634000,Other,02-11-22 12:12,Mid Night,1
10.42.0.211-64.71.142.95-43962-443-6,Shangrao,28.4419,117.9633,8562,78,45,3,2,3,1.5,18,6579714,Footbridge,02-11-22 12:19,Evening,0
10.42.0.151-31.13.69.229-58535-443-6,Luoyang,34.6587,112.4245,7854,65,12,5,5,9,1.8,13,6549941,Platform,02-11-22 12:29,Mid Night,1
172.217.10.138-10.42.0.151-443-39419-6,Bijie,27.3019,105.2863,1250,98,10,7,6,2,1.9,19,6537498,Road,02-11-22 12:38,Morning,0
192.229.163.180-10.42.0.42-443-36572-6,Yantai,37.3997,121.2664,6005,25,28,5,4,3,1.2,17,6516900,Bride,02-11-22 12:45,Evening,0
10.42.0.151-10.42.0.1-30890-53-17,Quanzhou,24.9139,118.5858,8952,30,75,6,3,2,1.9,13,6480000,Escalator,02-11-22 12:50,Mid Night,1
172.217.10.99-10.42.0.211-443-34289-6,Hangzhou,30.25,120.1675,9500,52,63,4,2,4,1.4,1,6446000,Stairs,02-11-22 13:00,Evening,1
202.77.129.150-10.42.0.151-443-37872-6,Kunming,25.0433,102.7061,7840,82,42,8,3,5,1.6,4,6250000,Pedestrain,02-11-22 13:11,Mid Night,0
10.42.0.211-10.42.0.1-11856-53-17,Nanchong,30.7991,106.0784,2256,6,85,9,5,6,1.8,10,6183000,Bride,02-11-22 13:25,Evening,1
174.35.73.107-10.42.0.211-80-50265-6,Zunyi,27.705,106.9336,4859,8,8,4,4,7,1.7,15,6127009,Escalator,02-11-22 13:42,Mid Night,0
182.22.25.124-10.42.0.151-443-37768-6,Luƒ??an,31.7542,116.5078,8526,9,6,2,9,2,1.3,13,6090000,Stairs,02-11-22 14:13,Mid Night,1
10.42.0.211-36.110.213.49-44374-80-6,Yichun,27.8041,114.383,9562,15,74,5,8,2,1.2,18,6048700,Pedestrain,02-11-22 14:15,Evening,0
172.217.10.10-10.42.0.42-443-38166-6,Taizhou,28.6583,121.4221,754,60,80,6,7,3,1.6,22,5968838,Station,02-11-22 14:50,Mid Night,1
172.217.9.234-10.42.0.151-443-41131-6,Liaocheng,36.45,115.9833,8652,80,42,4,10,8,1.9,28,5955300,Road Vehicle Carriageway,02-11-22 14:57,Mid Night,0
10.42.0.151-10.42.0.1-52511-53-17,Qujing,25.5102,103.8029,754,45,35,3,5,10,1.8,36,5855055,Road,02-11-22 15:07,Evening,0
10.42.0.211-36.110.210.167-33418-80-6,Xiangyang,32.0654,112.1531,8652,68,68,2,6,5,1.5,25,5844000,Station,02-11-22 15:23,Mid Night,0
10.42.0.211-10.42.0.1-46412-53-17,Qingdao,36.1167,120.4,5800,75,45,3,4,6,1.8,18,5775000,Platform,02-11-22 15:50,Mid Night,0
10.42.0.1-10.42.0.42-53-40376-17,Changde,29.0397,111.6839,957,23,75,5,5,8,1.9,96,5717200,Lineside,02-11-22 16:06,Evening,0
216.58.219.234-10.42.0.42-443-43041-6,Dazhou,31.2152,107.4947,865,52,42,4,2,9,1.2,18,5693000,Road,02-11-22 16:11,Mid Night,1
10.42.0.211-106.39.169.66-55766-443-6,Suzhou,33.6333,116.9683,7856,26,52,9,3,2,1.9,18,5690000,Other,02-11-22 16:11,Mid Night,1
157.240.0.17-10.42.0.211-443-36558-6,Jieyang,23.5533,116.3649,856,80,36,8,8,4,1.4,18,5634000,Footbridge,02-11-22 16:15,Evening,0
239.255.255.250-10.42.0.1-1900-36714-17,Nangandao,35.2992,113.8851,1600,20,42,7,9,5,1.6,39,5516000,Platform,02-11-22 16:25,Mid Night,1
172.217.10.141-10.42.0.42-443-48803-6,Taiƒ??an,36.2001,117.0809,852,60,20,10,10,8,1.8,14,5499000,Road,02-11-22 16:28,Morning,0
10.42.0.151-52.84.29.154-34142-443-6,Yulin,22.6293,110.1507,8652,84,30,5,7,3,1.7,19,5487368,Bride,02-11-22 17:00,Evening,1
162.208.22.39-10.42.0.211-443-54148-6,Dezhou,37.4513,116.3105,7854,95,78,6,5,9,1.3,17,5470000,Escalator,02-11-22 17:14,Mid Night,1
10.42.0.151-31.13.69.229-48034-443-6,Suihua,46.6384,126.9808,6895,15,53,4,3,2,1.2,19,5420000,Stairs,02-11-22 17:19,Evening,0
10.42.0.151-72.21.206.121-56987-443-6,Qiqihar,47.3398,123.9512,7526,68,68,5,7,3,1.6,17,5367003,Pedestrain,02-11-22 17:21,Mid Night,1
172.217.10.138-10.42.0.211-443-35636-6,Jinhua,29.1046,119.6494,8566,45,42,2,2,2,1.9,36,5361572,Bride,02-11-22 17:22,Evening,1
198.11.132.221-10.42.0.151-443-60588-6,Shantou,23.3735,116.6941,7856,85,20,3,2,4,1.8,95,5319028,Escalator,02-11-22 17:27,Mid Night,0
10.42.0.211-10.42.0.1-21209-53-17,Weinan,34.4996,109.4684,1235,25,35,5,6,5,1.5,15,5300000,Stairs,02-11-22 17:28,Mid Night,1
209.10.120.26-10.42.0.211-80-34514-6,Suqian,33.9331,118.2831,6587,36,85,6,8,6,1.8,18,5290000,Pedestrain,02-11-22 17:33,Evening,0
172.217.10.110-10.42.0.151-443-44424-6,Suzhou,31.304,120.6164,4598,85,78,8,7,7,1.9,19,5250000,Station,02-11-22 17:43,Mid Night,1
10.42.0.211-10.42.0.1-13259-53-17,Fuzhou,26.0769,119.2917,6895,95,57,7,6,2,1.2,17,5245000,Road Vehicle Carriageway,02-11-22 17:57,Mid Night,0
10.42.0.211-115.239.210.141-38384-80-6,Zhaotong,27.3328,103.7144,2568,42,12,8,5,2,1.9,12,5213521,Road,02-11-22 18:06,Evening,1
224.0.0.251-10.42.0.1-5353-5353-17,Pudong,31.2231,121.5397,7586,20,16,9,8,3,1.4,19,5187200,Station,02-11-22 18:10,Mid Night,0
172.217.6.234-10.42.0.211-443-50518-6,Yongzhou,26.4515,111.5953,2356,60,75,5,9,8,1.6,19,5180235,Platform,02-11-22 18:23,Mid Night,1
10.42.0.211-10.42.0.1-33128-53-17,Zhangzhou,24.5093,117.6612,1500,80,42,6,7,10,1.8,16,5140000,Lineside,02-11-22 18:27,Evening,0
10.42.0.151-10.42.0.1-50574-53-17,Bozhou,33.8626,115.7742,6895,90,35,4,5,5,1.7,17,5100000,Road,02-11-22 18:59,Mid Night,1
10.42.0.211-121.12.98.64-40880-80-6,Nanchang,28.6842,115.8872,8000,15,45,10,4,6,1.3,12,5042565,Other,02-11-22 19:55,Mid Night,0
10.42.0.42-47.88.66.107-33056-443-6,Xianyang,34.35,108.7167,5489,75,12,5,6,8,1.2,16,5040000,Footbridge,02-11-22 20:04,Evening,1
172.217.10.110-10.42.0.151-443-33509-6,Taizhou,32.4831,119.9,6358,62,15,8,5,9,1.6,14,5031000,Platform,03-11-22 8:19,Mid Night,1
10.42.0.211-31.13.80.5-35258-443-6,Jiƒ??an,27.1172,114.9793,7854,43,16,4,8,2,1.9,18,4956600,Road,03-11-22 9:21,Mid Night,0
10.42.0.151-125.39.133.40-35044-80-6,Mianyang,31.4669,104.7385,6000,84,74,5,2,4,1.8,39,4945000,Bride,03-11-22 9:40,Evening,1
10.42.0.151-10.42.0.1-19148-53-17,Shaoxing,30,120.5833,5682,15,15,8,9,5,1.5,18,4912239,Escalator,03-11-22 9:42,Mid Night,0
239.255.255.250-10.42.0.1-1900-34458-17,Yuncheng,35.0304,110.998,5800,19,13,7,10,8,1.8,17,4860000,Stairs,03-11-22 9:51,Mid Night,0
172.217.7.131-10.42.0.42-80-34656-6,Pingdingshan,33.735,113.2999,9568,75,18,5,8,3,1.9,96,4838000,Pedestrain,03-11-22 9:58,Evening,1
183.79.248.124-10.42.0.151-80-49120-6,Huaiƒ??an,33.5,119.1331,8954,80,10,6,7,9,1.2,17,4799889,Footbridge,03-11-22 10:05,Mid Night,1
10.42.0.211-104.97.95.172-39576-80-6,Xinpu,34.5906,119.1801,4500,26,16,8,5,2,1.9,24,4790000,Platform,03-11-22 10:14,Mid Night,0
183.79.250.251-10.42.0.211-443-54363-6,Guilin,25.2667,110.2833,6580,85,80,7,6,3,1.4,18,4747963,Road,03-11-22 10:21,Evening,1
172.217.12.170-10.42.0.151-443-52342-6,Huaihua,27.5494,109.9592,856,42,50,8,5,2,1.6,13,4741948,Bride,03-11-22 10:24,Mid Night,0
10.42.0.211-36.51.254.232-56313-443-6,Jiujiang,29.7048,116.0021,950,38,60,5,7,4,1.8,19,4728778,Escalator,03-11-22 10:34,Mid Night,1
172.217.6.234-10.42.0.151-443-50131-6,Anqing,30.5,117.0333,1205,64,45,2,5,5,1.7,17,4723000,Stairs,03-11-22 10:44,Evening,0
10.42.0.211-10.42.0.1-2600-53-17,Huanglongsi,34.7936,114.3403,3586,82,65,3,2,6,1.3,13,4676159,Pedestrain,03-11-22 10:53,Mid Night,1
172.217.11.46-10.42.0.42-443-57494-6,Xiaoganzhan,30.9273,113.911,5266,65,25,4,3,7,1.2,1,4665000,Station,03-11-22 10:57,Mid Night,0
180.163.15.184-10.42.0.151-80-57105-6,Changzhou,31.8122,119.9692,8540,75,87,5,5,2,1.6,4,4592431,Road Vehicle Carriageway,03-11-22 11:02,Evening,0
10.42.0.151-10.42.0.1-62817-53-17,Chenzhou,25.7989,113.0267,9650,25,56,6,7,2,1.9,10,4581778,Road,03-11-22 11:03,Mid Night,1
10.42.0.211-64.71.142.124-42465-80-6,Wuxi,31.5667,120.2833,8750,68,45,8,5,3,1.8,15,4580000,Station,03-11-22 11:04,Mid Night,0
182.22.120.252-10.42.0.151-443-43861-6,Zibo,36.7831,118.0497,9862,42,78,7,6,8,1.5,13,4530597,Platform,03-11-22 11:10,Evening,0
10.42.0.151-10.42.0.1-5314-53-17,Jiaxing,30.7522,120.75,4856,8,5,9,4,10,1.8,18,4501657,Lineside,03-11-22 11:10,Mid Night,1
10.42.0.211-10.42.0.1-17405-53-17,Dalian,38.9131,121.61,5500,12,6,10,8,5,1.9,22,4480000,Road,03-11-22 11:21,Morning,1
10.42.0.42-103.43.91.8-53944-443-6,Yangzhou,32.3912,119.4363,9568,5,89,4,9,6,1.2,28,4459000,Other,03-11-22 11:26,Evening,0
151.101.21.140-10.42.0.211-443-57060-6,Harbin,45.75,126.6333,7852,10,42,5,4,8,1.9,36,4458000,Footbridge,03-11-22 11:28,Mid Night,1
174.35.73.97-10.42.0.42-80-45672-6,Yibin,28.7596,104.64,6253,15,52,2,2,9,1.4,25,4456000,Platform,03-11-22 11:31,Evening,0
10.42.0.1-10.42.0.42-53-46233-17,Jiangmen,22.5833,113.0833,8500,15,65,3,5,2,1.6,18,4448871,Road,03-11-22 11:36,Mid Night,1
180.149.136.194-10.42.0.211-80-50579-6,Meizhou,24.2998,116.1191,4200,68,85,5,6,4,1.8,96,4378800,Bride,03-11-22 11:37,Evening,1
10.42.0.211-10.42.0.1-5623-53-17,Chifeng,42.2663,118.9223,2568,79,32,5,4,5,1.7,18,4376600,Escalator,03-11-22 11:40,Mid Night,1
10.42.0.211-10.42.0.1-22849-53-17,Guiyang,26.5794,106.7078,800,12,45,4,3,8,1.3,18,4365000,Stairs,03-11-22 11:41,Mid Night,1
172.217.12.206-10.42.0.151-443-55599-6,Langfang,39.5196,116.7006,650,60,68,6,2,3,1.2,18,4358839,Pedestrain,03-11-22 11:47,Evening,1
10.42.0.211-64.71.142.110-56894-443-6,Zhangjiakou,40.8108,114.8811,854,80,75,8,3,9,1.6,39,4345491,Station,03-11-22 12:00,Mid Night,0
10.42.0.42-104.192.110.245-57282-443-6,Linfen,36.0812,111.5087,6389,89,12,5,5,2,1.9,14,4316610,Road Vehicle Carriageway,03-11-22 12:09,Mid Night,1
10.42.0.151-10.42.0.1-58336-53-17,Wenzhou,27.9991,120.6561,5870,78,15,2,4,3,1.8,19,4310000,Road,03-11-22 12:12,Evening,0
220.181.7.190-10.42.0.211-443-33811-6,Luzhou,28.8918,105.4409,8950,86,75,2,9,2,1.5,17,4291000,Bride,03-11-22 12:26,Mid Night,1
8.41.222.241-10.42.0.211-443-39429-6,Jiangguanchi,34.0244,113.8201,6354,90,62,5,8,4,1.8,19,4289000,Escalator,03-11-22 12:33,Mid Night,0
172.217.3.106-10.42.0.42-443-46661-6,Neijiang,29.5872,105.0635,8450,100,6,3,7,5,1.9,17,4238000,Stairs,03-11-22 12:34,Evening,1
216.58.219.202-10.42.0.211-443-53523-6,Yanjiang,30.1256,104.6397,9560,86,8,4,10,6,1.2,36,4217000,Pedestrain,03-11-22 12:37,Mid Night,0
172.217.12.131-10.42.0.42-443-60868-6,Yiyang,28.5833,112.3333,8500,55,9,8,5,7,1.9,95,4174000,Station,03-11-22 12:37,Mid Night,1
10.42.0.151-104.254.66.16-50012-80-6,Zhaoqing,23.047,112.465,4800,98,8,9,6,2,1.4,15,4151700,Road Vehicle Carriageway,03-11-22 12:44,Evening,0
10.42.0.151-64.71.142.96-58074-80-6,Hengshui,37.7348,115.686,6215,78,75,10,4,2,1.6,18,4150000,Road,03-11-22 12:47,Mid Night,1
10.42.0.151-23.194.181.192-55809-443-6,Guigang,23.0961,109.6092,8050,95,42,2,5,3,1.8,19,4118808,Station,03-11-22 12:52,Morning,0
182.22.24.124-10.42.0.211-443-38517-6,Xiaoxita,30.7083,111.2803,9800,15,42,6,2,8,1.7,17,4115000,Platform,03-11-22 12:56,Evening,1
10.42.0.211-54.192.38.154-41783-443-6,Xiamen,24.4797,118.0819,8560,68,52,8,3,10,1.3,12,4110000,Lineside,03-11-22 13:00,Mid Night,1
172.217.12.142-10.42.0.211-443-35152-6,Chuzhou,32.3062,118.3115,3680,45,85,10,1,5,1.2,19,4110000,Road,03-11-22 13:03,Evening,0
10.42.0.151-10.42.0.1-6126-53-17,Fuzhou,27.9814,116.3577,7890,85,75,7,8,6,1.6,19,4047200,Other,03-11-22 13:05,Mid Night,1
8.0.6.4-8.6.0.1-0-0-0,Huizhou,23.1115,114.4152,8520,25,25,5,9,8,1.9,16,3875000,Footbridge,03-11-22 13:15,Evening,0
203.205.158.61-10.42.0.42-80-56089-6,Qingyuan,23.6842,113.0507,862,36,8,6,10,9,1.8,17,3874000,Platform,03-11-22 13:23,Mid Night,0
203.205.179.170-10.42.0.151-80-43734-6,Zhuzhou,27.8407,113.1469,950,85,9,3,7,2,1.5,12,3855609,Road,03-11-22 13:31,Mid Night,1
172.217.11.34-10.42.0.151-443-44929-6,Wuhu,31.334,118.3622,1200,95,16,5,5,4,1.8,16,3842100,Bride,03-11-22 13:31,Evening,1
10.42.0.1-10.42.0.42-53-2787-17,Hechi,23.0965,109.6091,8600,42,75,8,3,5,1.9,14,3830000,Escalator,03-11-22 13:45,Mid Night,0
172.217.10.74-10.42.0.151-443-37258-6,Loudi,27.7378,111.9974,950,20,12,9,7,8,1.2,18,3785627,Stairs,03-11-22 14:03,Mid Night,1
10.42.0.42-108.174.10.10-55647-80-6,Binzhou,37.3806,118.0125,820,60,16,10,2,3,1.9,39,3779200,Pedestrain,03-11-22 14:15,Evening,0
10.42.0.211-23.206.125.17-54298-80-6,Liuzhou,24.3181,109.4069,6580,80,80,7,2,9,1.4,18,3758704,Bride,03-11-22 14:29,Mid Night,1
205.204.101.182-10.42.0.211-443-51831-6,Baojishi,34.3609,107.1751,8250,90,45,5,6,2,1.6,17,3738700,Escalator,03-11-22 14:41,Mid Night,0
10.42.0.211-10.42.0.1-63374-53-17,Guangƒ??an,30.4673,106.6336,7520,15,75,3,8,3,1.8,96,3723000,Stairs,03-11-22 14:43,Evening,1
10.42.0.151-103.235.46.212-55190-443-6,Hanzhong,33.0794,107.026,6890,75,56,7,7,2,1.7,17,3700000,Pedestrain,03-11-22 14:44,Mid Night,0
10.42.0.211-123.125.29.220-37913-80-6,Zaozhuang,34.8667,117.55,7840,62,10,2,6,4,1.3,24,3650000,Station,03-11-22 14:51,Mid Night,0
10.42.0.42-14.204.144.141-52376-80-6,Anshan,41.1066,122.9895,8650,43,20,2,5,5,1.2,18,3645884,Road Vehicle Carriageway,03-11-22 15:02,Evening,1
10.42.0.211-10.42.0.1-10747-53-17,Deyang,31.1289,104.395,8100,84,25,6,8,6,1.6,13,3636000,Road,03-11-22 15:06,Mid Night,0
172.217.11.1-10.42.0.211-443-39955-6,Lanzhou,36.0617,103.8318,8630,15,65,8,9,7,1.9,19,3616163,Station,03-11-22 15:12,Morning,1
10.42.0.151-98.139.199.204-40058-443-6,Chengde,40.9739,117.9322,8954,19,38,7,7,2,1.8,17,3610000,Platform,03-11-22 15:13,Evening,1
10.42.0.211-10.42.0.1-40991-53-17,Puyang,35.7639,115.03,6805,75,75,6,5,2,1.5,13,3580000,Lineside,03-11-22 15:14,Mid Night,1
10.42.0.211-23.21.95.195-56360-443-6,Suining,30.5098,105.5737,7850,80,45,5,4,3,1.8,1,3556000,Road,03-11-22 15:19,Evening,0
172.217.10.42-10.42.0.42-443-53549-6,Baicheng,23.901,106.6194,6258,26,12,8,6,8,1.9,4,3466758,Other,03-11-22 15:23,Mid Night,0
10.42.0.211-64.71.142.124-45335-443-6,Qincheng,34.5809,105.7311,780,85,10,9,5,10,1.2,10,3400000,Footbridge,03-11-22 15:31,Evening,0
10.42.0.151-103.7.30.118-56017-80-6,Taiyuan,37.8733,112.5425,6985,42,28,7,8,5,1.9,15,3398000,Platform,03-11-22 15:32,Mid Night,1
203.205.191.22-10.42.0.151-80-41134-6,Jinan,36.6667,116.9833,9000,38,75,5,2,6,1.4,13,3250000,Road,03-11-22 15:39,Mid Night,1
10.42.0.211-10.42.0.1-57342-53-17,Changzhi,36.1953,113.097,9560,64,63,4,9,8,1.6,18,3230000,Bride,03-11-22 15:44,Evening,1
10.42.0.211-123.125.29.220-34688-80-6,Shiyan,32.6351,110.7755,8650,82,42,6,10,9,1.8,22,3228000,Escalator,03-11-22 15:47,Mid Night,1
10.42.0.42-64.71.142.125-43314-443-6,Bazhou,31.8576,106.7559,3689,65,85,5,8,2,1.7,28,3134000,Stairs,03-11-22 15:50,Mid Night,1
10.42.0.211-104.192.110.245-41395-443-6,Zhongshan,22.5333,113.35,8570,75,8,8,7,4,1.3,36,3121275,Pedestrain,03-11-22 15:54,Evening,0
220.243.219.55-10.42.0.211-80-50980-6,Zhenjiang,32.2109,119.4551,9865,25,6,2,5,5,1.2,25,3113384,Bride,03-11-22 15:59,Mid Night,1
10.42.0.211-64.71.142.96-34945-443-6,??r?¬mqi,43.825,87.6,7520,68,74,9,6,8,1.6,18,3112559,Escalator,03-11-22 16:11,Mid Night,0
10.42.0.211-52.84.40.98-33024-80-6,Tongliao,43.6172,122.264,6358,42,80,10,5,3,1.9,96,3094600,Stairs,03-11-22 16:15,Evening,1
10.42.0.151-23.6.162.190-59742-443-6,Heyuan,23.7503,114.6923,1200,8,42,8,7,9,1.8,18,3093900,Pedestrain,03-11-22 16:37,Mid Night,0
10.42.0.211-10.42.0.1-16551-53-17,Qinzhou,21.95,108.6167,3650,12,35,7,5,2,1.5,18,3079721,Station,03-11-22 16:40,Mid Night,1
172.217.11.42-10.42.0.151-443-51269-6,Xinzhou,38.4178,112.7233,1456,5,68,5,2,3,1.8,18,3067501,Road Vehicle Carriageway,03-11-22 16:54,Evening,0
172.217.12.164-10.42.0.151-443-39980-6,Shaoguan,24.8011,113.5927,1568,10,45,6,3,2,1.9,39,2997600,Road,03-11-22 16:55,Mid Night,1
219.146.248.94-10.42.0.211-80-46861-6,Shanwei,22.7664,115.3331,789,15,75,5,5,4,1.2,14,2990000,Station,03-11-22 17:03,Mid Night,0
151.101.1.140-10.42.0.151-80-60118-6,Dingxi,35.5806,104.6263,4568,15,42,7,7,5,1.9,19,2930000,Platform,03-11-22 17:04,Evening,1
8.0.6.4-8.6.0.1-0-0-0,Ningde,26.6667,119.5167,7890,68,52,5,5,6,1.4,17,2910000,Lineside,03-11-22 17:13,Mid Night,0
221.228.208.97-10.42.0.211-80-33203-6,Putian,25.4394,119.0103,4500,79,36,2,6,7,1.6,19,2900000,Road,03-11-22 17:17,Mid Night,1
10.42.0.211-23.34.19.143-60322-80-6,Huzhou,30.8695,120.0958,6530,12,42,3,4,2,1.8,17,2893542,Other,03-11-22 17:22,Evening,1
10.42.0.211-23.21.95.195-34341-443-6,Wuzhou,23.4833,111.3167,8520,60,20,5,8,2,1.7,36,2882200,Footbridge,03-11-22 17:25,Mid Night,0
10.42.0.211-123.125.46.161-49632-80-6,Mudanjiang,44.5861,129.5997,6890,80,30,7,9,3,1.3,95,2790000,Platform,03-11-22 17:28,Mid Night,1
